Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0750136R;E.P.PR SAINT-SAUVEUR 14 rue des Petits Carreaux;ECOLE PRIMAIRE PRIVEE;SAINT-SAUVEUR;Privé;14 rue des Petits Carreaux;;;75002;PARIS;Paris  2e  Arrondissement;652122.6;6863183.1;EPSG:2154;48.86689675806401;2.347349517640619;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75102;Paris;Ile-de-France;Paris;48.86689675806401, 2.347349517640619;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-10
0750142X;E.P.PR SAINT JEAN GABRIEL 6 rue du Cloître Saint Merri;ECOLE PRIMAIRE PRIVEE;SAINT JEAN GABRIEL;Privé;6 rue du Cloître Saint Merri;;;75004;PARIS;Paris  4e  Arrondissement;652437.1;6862297.5;EPSG:2154;48.85895598620295;2.351735602994831;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75104;Paris;Ile-de-France;Paris;48.85895598620295, 2.351735602994831;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-10
0750149E;E.P.PR SAINTE-CATHERINE 13 bis rue des Bernardins;ECOLE PRIMAIRE PRIVEE;SAINTE-CATHERINE;Privé;13 bis rue des Bernardins;;;75005;PARIS;Paris  5e  Arrondissement;652363.7;6861329.3;EPSG:2154;48.85024361643063;2.35084371821255;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75105;Paris;Ile-de-France;Paris;48.85024361643063, 2.35084371821255;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-10
0750151G;E.P.PR SOEUR ROSALIE 32 rue Geoffroy Saint Hilaire;ECOLE PRIMAIRE PRIVEE;SOEUR ROSALIE;Privé;32 rue Geoffroy Saint Hilaire;;;75005;PARIS;Paris  5e  Arrondissement;652750.5;6860276.4;EPSG:2154;48.84080336861821;2.3562315168482466;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75105;Paris;Ile-de-France;Paris;48.84080336861821, 2.3562315168482466;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-10
0750210W;E.P.PR LA TRINITE 16 rue de Milan;ECOLE PRIMAIRE PRIVEE;LA TRINITE;Privé;16 rue de Milan;;;75009;PARIS;Paris  9e  Arrondissement;650700.9;6864525.9;EPSG:2154;48.87886498046824;2.3278144298304113;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75109;Paris;Ile-de-France;Paris;48.87886498046824, 2.3278144298304113;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750222J;E.E.PR CHARLES PEGUY 102 rue Amelot;ECOLE ELEMENTAIRE PRIVEE;CHARLES PEGUY;Privé;102 rue Amelot;;;75011;PARIS;Paris 11e  Arrondissement;653595.3;6862670.2;EPSG:2154;48.86239210554732;2.3674800587521103;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75111;Paris;Ile-de-France;Paris;48.86239210554732, 2.3674800587521103;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750229S;E.P.PR FENELON SAINTE-MARIE 7 rue de la Bienfaisance;ECOLE PRIMAIRE PRIVEE;FENELON SAINTE-MARIE;Privé;7 rue de la Bienfaisance;;;75008;PARIS;Paris  8e  Arrondissement;650152.8;6864289.7;EPSG:2154;48.876698711206174;2.3203692571615733;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75108;Paris;Ile-de-France;Paris;48.876698711206174, 2.3203692571615733;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-13
0750234X;E.P.PR EUGENE NAPOLEON ST P. FOURIER 252 ter rue du Faubourg Saint-Antoine;ECOLE PRIMAIRE PRIVEE;EUGENE NAPOLEON ST P. FOURIER;Privé;252 ter rue du Faubourg Saint-Antoine;;;75012;PARIS;Paris 12e  Arrondissement;655347.4;6861163.9;EPSG:2154;48.84896986170152;2.391519331824771;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75112;Paris;Ile-de-France;Paris;48.84896986170152, 2.391519331824771;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750239C;E.P.PR SAINT-ELOI 99 ter rue de Reuilly;ECOLE PRIMAIRE PRIVEE;SAINT-ELOI;Privé;99 ter rue de Reuilly;;;75012;PARIS;Paris 12e  Arrondissement;655320.6;6860564.1;EPSG:2154;48.843573987354915;2.3912171572486067;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75112;Paris;Ile-de-France;Paris;48.843573987354915, 2.3912171572486067;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750243G;E.P.PR SAINT-ESPRIT 56 rue des Meuniers;ECOLE PRIMAIRE PRIVEE;SAINT-ESPRIT;Privé;56 rue des Meuniers;;;75012;PARIS;Paris 12e  Arrondissement;655605.6;6859661.7;EPSG:2154;48.835478326957826;2.3951944719222027;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;075;11;01;75112;Paris;Ile-de-France;Paris;48.835478326957826, 2.3951944719222027;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
