Geo Point;Geo Shape;dep;adresse;nomcom;insee;nom_carto;typo_niv3;objectid
48.9436108846, 2.43183512035;"{""coordinates"": [2.431835120348986, 48.943610884623475, 0.0], ""type"": ""Point""}";93;PARC DES EXPOSITIONS, PARIS LE BOURGET, 93350 LE B;LE BOURGET;93013;Paris le Bourget;Centre de congrès et parc d'exposition;2
48.8959764786, 2.38719302494;"{""coordinates"": [2.387193024935043, 48.89597647860909, 0.0], ""type"": ""Point""}";75;30, AVENUE CORENTIN CARIOU, 75930 PARIS CEDEX 19;PARIS;75119;CITÉ DES SCIENCES ET DE L'INDUSTRIE;Centre de congrès et parc d'exposition;3
48.8900865765, 2.39175227622;"{""coordinates"": [2.391752276223555, 48.89008657646944, 0.0], ""type"": ""Point""}";75;211, AVENUE JEAN JAURÈS, 75019 PARIS;PARIS;75119;LA GRANDE HALLE DE LA VILLETTE;Centre de congrès et parc d'exposition;5
48.8026371227, 2.12351707896;"{""coordinates"": [2.123517078960385, 48.80263712268375, 0.0], ""type"": ""Point""}";78;10, RUE DE LA CHANCELLERIE, 78000 VERSAILLES;VERSAILLES;78646;PALAIS DES CONGRÈS DE VERSAILLES;Centre de congrès et parc d'exposition;13
49.0471683101, 2.1132703836;"{""coordinates"": [2.113270383598114, 49.047168310110564, 25.672000000005937], ""type"": ""Point""}";95;AVENUE RICHARD DE TOUR;Saint-OUEN-L'AUMONE;95572;Abbaye de Maubuisson;Diffusion de l'art (autre que musée);22
48.6954920317, 2.54723218113;"{""coordinates"": [2.547232181133371, 48.69549203172327, -100000.0], ""type"": ""Point""}";94;RUE DU MOULIN NEUF;PERIGNY;94056;Fondation Dubuffet;Diffusion de l'art (autre que musée);39
48.8609963623, 2.33581863894;"{""coordinates"": [2.335818638937509, 48.860996362308484, 0.0], ""type"": ""Point""}";75;ENTRÉE PRINCIPALE PAR LA PYRAMIDE - (OU PAR LA GALERIE DU CARROUSEL);Paris;75101;Musée du Louvre;Musée et écomusée;69
48.8553706186, 2.34508034696;"{""coordinates"": [2.345080346959076, 48.85537061858154, 0.0], ""type"": ""Point""}";75;6 BOULEVARD DU PALAIS;Paris;75101;Sainte-Chapelle;Site et monument;70
48.8573434418, 2.36243593825;"{""coordinates"": [2.362435938246104, 48.85734344184478, 0.0], ""type"": ""Point""}";75;23 RUE DE SÉVIGNÉ;Paris;75103;Musée Carnavalet - musée de l'histoire de Paris;Musée et écomusée;77
48.8571495139, 2.36176762959;"{""coordinates"": [2.36176762959474, 48.85714951388949, 0.0], ""type"": ""Point""}";75;24 RUE PAVÉE;Paris;75104;Bibliothèque historique de la ville de Paris - hôtel de Lamoignon;Musée et écomusée;84
