Geo Point;Geo Shape;id_ref_ZdA;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
-5.980240422117243, -1.3603289798895095;"{""coordinates"": [-1.36032897988951, -5.980240422117243], ""type"": ""Point""}";43222;909;VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;Villiers-le-Bel-Gonesse-Arnouville;RER;;A01842;RER D;RER D-256;D;473.1064993;554.44312695
-5.981762421122507, -1.3594566732264566;"{""coordinates"": [-1.359456673226457, -5.981762421122507], ""type"": ""Point""}";44199;596;NOISIEL;Noisiel;RER;;A01856;RER A;RER A-5;A;599.4436073;303.07691731
-5.981600621734404, -1.3592206982571278;"{""coordinates"": [-1.359220698257128, -5.981600621734404], ""type"": ""Point""}";58874;119;BUSSY-ST-GEORGES;Bussy-St-Georges;RER;;A01856;RER A;RER A-441;A;638.69465709;326.88781535
-5.981730452556628, -1.3593283308789528;"{""coordinates"": [-1.359328330878953, -5.981730452556628], ""type"": ""Point""}";43152;473;LOGNES;Lognes;RER;;A01856;RER A;RER A-6;A;620.29573933;307.05786008
-5.983350840331949, -1.3616706941816679;"{""coordinates"": [-1.361670694181668, -5.983350840331949], ""type"": ""Point""}";43086;612;ORSAY-VILLE;Orsay-Ville;RER;;A01857;RER B;RER B-218;B;230.54289361;68.41527814
-5.9825565999299295, -1.3619108537772886;"{""coordinates"": [-1.361910853777289, -5.982556599929929], ""type"": ""Point""}";43241;175;CHAVILLE RIVE DROITE;Chaville R.D.;TRAIN;;A02176;TRAIN L;TRAIN L-382;L;196.35701882;188.10906834
-5.982706848589691, -1.362190768684962;"{""coordinates"": [-1.362190768684962, -5.982706848589691], ""type"": ""Point""}";43167;566;MONTREUIL;Montreuil;TRAIN;;A02176;TRAIN L;TRAIN L-148;L;152.89022202;176.11665681
-5.9806882976964, -1.3623007628247348;"{""coordinates"": [-1.362300762824735, -5.9806882976964], ""type"": ""Point""}";43116;211;CORMEILLES-EN-PARISIS;Cormeilles-en-Parisis;TRAIN;;A01852;TRAIN J;TRAIN J-225;J;153.13067849;500.22059603
-5.9804837768592884, -1.3617915196914785;"{""coordinates"": [-1.361791519691478, -5.980483776859288], ""type"": ""Point""}";43189;782;SANNOIS;Sannois;TRAIN;;A01852;TRAIN J;TRAIN J-222;J;236.55621857;528.44664762
-5.980315935472357, -1.3628615939187996;"{""coordinates"": [-1.3628615939188, -5.980315935472357], ""type"": ""Point""}";51494;613;OSNY;Osny;TRAIN;;A01852;TRAIN J;TRAIN J-279;J;66.54449463;564.7980957
-5.980324007564672, -1.3630070272610924;"{""coordinates"": [-1.363007027261092, -5.980324007564672], ""type"": ""Point""}";47922;865;US;Us;TRAIN;;A01852;TRAIN J;TRAIN J-282;J;43.16491699;564.79510498
-5.981873078045503, -1.3615606462534704;"{""coordinates"": [-1.36156064625347, -5.981873078045503], ""type"": ""Point""}";45447;42;AV. HENRI MARTIN;Av. Henri Martin;RER;;A01840;RER C;RER C-333;C;261.26076025;304.00312574
-5.981621525001859, -1.3623342472036912;"{""coordinates"": [-1.362334247203691, -5.981621525001859], ""type"": ""Point""}";43237;439;LE VESINET-LE PECQ;Le Vesinet-le Pecq;RER;;A01856;RER A;RER A-96;A;139.50265654;351.1277304
-5.982233276232378, -1.362429282078138;"{""coordinates"": [-1.362429282078138, -5.982233276232378], ""type"": ""Point""}";58871;480;LOUVECIENNES;Louveciennes;TRAIN;;A02176;TRAIN L;TRAIN L-144;L;118.85583289;254.04075614
-5.982265484439184, -1.3623666771224616;"{""coordinates"": [-1.362366677122462, -5.982265484439184], ""type"": ""Point""}";47790;96;BOUGIVAL;Bougival;TRAIN;;A02176;TRAIN L;TRAIN L-145;L;128.60444739;248.32989374
-5.982277342228845, -1.362274298781089;"{""coordinates"": [-1.362274298781089, -5.982277342228845], ""type"": ""Point""}";47880;391;LA CELLE-ST-CLOUD;La Celle-St-Cloud;TRAIN;;A02176;TRAIN L;TRAIN L-146;L;143.30486046;245.61296327
-5.982367644314465, -1.3619209416523603;"{""coordinates"": [-1.36192094165236, -5.982367644314465], ""type"": ""Point""}";47767;801;SEVRES-VILLE-D'AVRAY;Sevres-Ville-D'Avray;TRAIN;;A02176;TRAIN L;TRAIN L-381;L;199.13830566;228.0255127
-5.9811260491068925, -1.3619890904967817;"{""coordinates"": [-1.361989090496782, -5.981126049106892], ""type"": ""Point""}";43118;217;COURBEVOIE;Courbevoie;TRAIN;;A02176;TRAIN L;TRAIN L-392;L;199.20672379;427.38403861
-5.980546174640145, -1.3614719289788533;"{""coordinates"": [-1.361471928978853, -5.980546174640145], ""type"": ""Point""}";43201;821;ST-GRATIEN;St-Gratien;RER;;A01840;RER C;RER C-224;C;287.22381592;515.6260376
-5.980283402594506, -1.361303855339538;"{""coordinates"": [-1.361303855339538, -5.980283402594506], ""type"": ""Point""}";43120;239;DOMONT;Domont;TRAIN;;A01849;TRAIN H;TRAIN H-254;H;316.48617044;556.20043823
-5.981596939850504, -1.362896898240625;"{""coordinates"": [-1.362896898240625, -5.981596939850504], ""type"": ""Point""}";46975;365;ISSOU-PORCHEVILLE;Issou-Porcheville;TRAIN;;A01852;TRAIN J;TRAIN J-117;J;49.54472923;360.05067621
-5.981328476360577, -1.362824538065992;"{""coordinates"": [-1.362824538065992, -5.981328476360577], ""type"": ""Point""}";47964;883;VERNOUILLET-VERNEUIL;Vernouillet-Verneuil;TRAIN;;A01852;TRAIN J;TRAIN J-134;J;63.51869056;402.38456422
-5.981786244141347, -1.3598882478960745;"{""coordinates"": [-1.359888247896075, -5.981786244141347], ""type"": ""Point""}";43172;589;NEUILLY-PLAISANCE;Neuilly-Plaisance;RER;;A01856;RER A;RER A-356;A;530.06424305;303.0861851
-5.982069074616807, -1.3609471279223733;"{""coordinates"": [-1.360947127922373, -5.982069074616807], ""type"": ""Point""}";44500;680;PORT ROYAL;Port Royal;RER;;A01857;RER B;RER B-432;B;357.85481686;267.19146264
-5.982714503377764, -1.361175850611115;"{""coordinates"": [-1.361175850611115, -5.982714503377764], ""type"": ""Point""}";43125;287;FONTENAY-AUX-ROSES;Fontenay-Aux-Roses;RER;;A01857;RER B;RER B-293;B;315.48492171;165.89703782
-5.9818879829883, -1.3612911350619175;"{""coordinates"": [-1.361291135061917, -5.9818879829883], ""type"": ""Point""}";415091;664;PONT DE L'ALMA;Pont de l'Alma;RER;;A01840;RER C;RER C-313;C;304.3232746;299.22889006
-5.98029944776333, -1.3600045716871347;"{""coordinates"": [-1.360004571687135, -5.98029944776333], ""type"": ""Point""}";58793;905;VILLEPINTE;Villepinte;RER;;A01857;RER B;RER B-407;B;524.57621276;542.12065295
-5.980195887267362, -1.3600102653191448;"{""coordinates"": [-1.360010265319145, -5.980195887267362], ""type"": ""Point""}";47878;621;PARC DES EXPOSITIONS;Parc des Expositions;RER;;A01857;RER B;RER B-408;B;524.57993933;558.7487082
-5.982961963532784, -1.3604937585447616;"{""coordinates"": [-1.360493758544762, -5.982961963532784], ""type"": ""Point""}";46307;899;VILLENEUVE-LE-ROI;Villeneuve-le-Roi;RER;;A01840;RER C;RER C-424;C;422.61522221;120.23938423
-5.98367194005572, -1.3616265655250255;"{""coordinates"": [-1.361626565525025, -5.98367194005572], ""type"": ""Point""}";43165;535;MONNERVILLE;Monnerville;TRAIN;;;GL;GRD LIGNES-193;GL;234.77331543;16.62127686
-5.980968800393352, -1.3619216892968158;"{""coordinates"": [-1.361921689296816, -5.980968800393352], ""type"": ""Point""}";47923;58;BECON-LES-BRUYERES;Becon-les-Bruyeres;TRAIN;;A02176;TRAIN L;TRAIN L-393;L;211.40092492;451.9587407
-5.982473896543428, -1.3609252993020797;"{""coordinates"": [-1.36092529930208, -5.982473896543428], ""type"": ""Point""}";43607;403;LAPLACE;Laplace;RER;;A01857;RER B;RER B-308;B;357.7705079;202.19372529
-5.982368050635733, -1.3609306298628676;"{""coordinates"": [-1.360930629862868, -5.982368050635733], ""type"": ""Point""}";45877;327;GENTILLY;Gentilly;RER;;A01857;RER B;RER B-307;B;357.85295909;219.18492709
-5.982263584031974, -1.360936394571298;"{""coordinates"": [-1.360936394571298, -5.982263584031974], ""type"": ""Point""}";45339;189;CITE UNIVERSITAIRE;Cite Universitaire;RER;;A01857;RER B;RER B-306;B;357.85357692;235.9591383
-5.980439889019124, -1.3627772606212307;"{""coordinates"": [-1.362777260621231, -5.980439889019124], ""type"": ""Point""}";44559;130;CERGY-PREFECTURE;Cergy-Prefecture;TRAIN;;A02176;TRAIN L;TRAIN L-248;L;78.96295375;544.20860971
-5.980974188123862, -1.3626987181962942;"{""coordinates"": [-1.362698718196294, -5.980974188123862], ""type"": ""Point""}";47908;6;ACHERES-VILLE;Acheres-Ville;RER;;A01856;RER A;RER A-127;A;86.82039133;457.98323846
-5.979961971276916, -1.3611451626047981;"{""coordinates"": [-1.361145162604798, -5.979961971276916], ""type"": ""Point""}";43178;637;PERSAN-BEAUMONT;Persan-Beaumont;TRAIN;;A01849;TRAIN H;TRAIN H-270;H;344.76403809;606.24780273
-5.980440289991691, -1.3617247120620442;"{""coordinates"": [-1.361724712062044, -5.980440289991691], ""type"": ""Point""}";43105;134;CERNAY;Cernay;RER;;A01840;RER C;RER C-228;C;247.64822063;534.81578098
-5.980998199830829, -1.359216837491946;"{""coordinates"": [-1.359216837491946, -5.980998199830829], ""type"": ""Point""}";9999;9999;ESBLY;Esbly;TRAIN;TRAIN P;A01844;TRAIN P;TRAIN P-999999;P;644.64249253;423.2886813
-5.981973061840105, -1.3613667999330137;"{""coordinates"": [-1.361366799933014, -5.981973061840105], ""type"": ""Point""}";58757;141;CHAMP DE MARS-TOUR EIFFEL;Champ de Mars-Tour Eiffel;RER;;A01840;RER C;RER C-314;C;291.44345233;286.27988855
-5.982080476415813, -1.3614143101568126;"{""coordinates"": [-1.361414310156813, -5.982080476415813], ""type"": ""Point""}";45346;376;JAVEL;Javel;RER;;A01840;RER C;RER C-315;C;282.8782959;269.50592041
-5.982845135405441, -1.361882486524262;"{""coordinates"": [-1.361882486524262, -5.982845135405441], ""type"": ""Point""}";46688;916;VIROFLAY RIVE GAUCHE;Viroflay R.G.;RER;;A01840;RER C;RER C-73;C;200.91945669;151.05732201
